,name,review,rating,meta,ingredients,steps,cooks_note,editors_note,nutrition_facts,url
0,Dutch Oven Crunchy Corned Beef,"I found this recipe attached to a 6-pack of beer on St. Patrick's Day in 1995.
I've been serving it as a holiday tradition since. Even self-proclaimed corned beef haters love this corned beef. A typical comment is, ""could be the best corned beef I've ever eaten.""",5.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '4 hrs 5 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '12', 'soak_time': None, 'total_time': '4 hrs 15 mins', 'yield': '12 servings'}","[{'name': 'corned beef brisket with spice packet', 'quanity': '1', 'unit': '(4 pound)'}
 {'name': 'water to cover', 'quanity': '4', 'unit': 'cups'}
 {'name': 'amber ale', 'quanity': '2', 'unit': '(12 fluid ounce) cans'}
 {'name': 'onion, quartered', 'quanity': '1', 'unit': 'large'}
 {'name': 'red chiles', 'quanity': '4', 'unit': ''}
 {'name': 'garlic', 'quanity': '3', 'unit': 'cloves'}
 {'name': 'cinnamon sticks', 'quanity': '3', 'unit': ''}
 {'name': 'peppercorns', 'quanity': '12', 'unit': ''}
 {'name': 'bay leaves', 'quanity': '4', 'unit': ''}
 {'name': 'brown sugar', 'quanity': '½', 'unit': 'cup'}
 {'name': 'ground cloves', 'quanity': '½', 'unit': 'teaspoon'}
 {'name': 'ground ginger', 'quanity': '½', 'unit': 'teaspoon'}
 {'name': 'ground mustard', 'quanity': '½', 'unit': 'teaspoon'}
 {'name': 'celery salt', 'quanity': '¼', 'unit': 'teaspoon'}
 {'name': 'caraway seeds', 'quanity': '¼', 'unit': 'teaspoon'}]","[' Place corned beef brisket and spice packet in a large Dutch oven with water to cover. Add ale, onion, chiles, garlic, cinnamon sticks, peppercorns, and bay leaves. Bring to a boil. Reduce heat and simmer for 4 to 5 hours.\n'
 ' Combine brown sugar, cloves, ginger, mustard, celery salt, and caraway seeds in a small bowl. Remove corned beef from the cooking liquid and discard aromatics. Rub brown sugar mixture onto the cooked corned beef while still hot.\n'
 ' Preheat an outdoor grill for medium heat and lightly oil the grate.\n'
 ' Place the coated corned beef on the hot grill and cook until the coating is crunchy, 5 to 10 minutes.\n']","If there is a meat cap over the fat (as is usually the case with the point cut), I trim off that point and rub and grill it separately. I also trim off the fat after I cook the corned beef and before I apply the rub.","Nutrition data for this recipe includes the full amount of ale, onion, and seasonings. The actual amount consumed will vary.","{'Calories': '251', 'Carbs': '16g', 'Fat': '13g', 'Protein': '13g'}",https://www.allrecipes.com/recipe/267704/dutch-oven-crunchy-corned-beef/
1,Spicy Spicy Ranch Dressing,"This spicy ranch dip with hot sauce and cayenne is excellent served with fries, poppers, and even wings.",4.5,"{'active_time': None, 'additional_time': '1 hr', 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '12', 'soak_time': None, 'total_time': '1 hr 5 mins', 'yield': '1 1/2 cups'}","[{'name': 'ranch salad dressing (such as Hidden Valley® Original Ranch®)', 'quanity': '1', 'unit': '(16 ounce) bottle'}
 {'name': 'hot pepper sauce (such as Tabasco®)', 'quanity': '1', 'unit': 'tablespoon'}
 {'name': ""hot pepper sauce (such as Frank's RedHot®)"", 'quanity': '1', 'unit': 'tablespoon'}
 {'name': 'ground cayenne pepper', 'quanity': '1', 'unit': 'teaspoon'}
 {'name': 'chili powder', 'quanity': '1', 'unit': 'teaspoon'}]","[' Gather the ingredients.\n'
 ' Combine salad dressing, hot pepper sauces, cayenne pepper, and chili powder in a bowl.\n'
 ' Chill in the refrigerator for at least 1 hour.\n']",unknown,unknown,"{'Calories': '192', 'Carbs': '2g', 'Fat': '20g', 'Protein': '1g'}",https://www.allrecipes.com/recipe/82153/spicy-spicy-ranch-dressing/
2,Amazing Oven-Roasted Potatoes,These oven-roasted potatoes are golden on the outside and tender on the inside. Made with minimum oil for a less greasy option than regular fried potatoes!,4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '1 hr', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '1 hr 10 mins', 'yield': None}","[{'name': 'potatoes, cut into chunks', 'quanity': '6', 'unit': 'medium'}
 {'name': 'olive oil', 'quanity': '2', 'unit': 'tablespoons'}
 {'name': 'seasoned salt, or to taste', 'quanity': '½', 'unit': 'teaspoon'}
 {'name': 'salt, or to taste', 'quanity': '½', 'unit': 'teaspoon'}
 {'name': 'cracked black pepper', 'quanity': '1', 'unit': 'teaspoon'}]","[' Gather the ingredients. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil.\n'
 ' Rinse potatoes and dry with a paper towel.\n'
 ' Place potatoes into a large bowl with oil, seasoned salt, salt, and pepper; mix until well coated.\n'
 ' Pour onto the prepared baking sheet and spread into an even layer.\n'
 ' Bake in the preheated oven, turning occasionally, until potatoes are tender and golden brown, about 1 hour.\n']",unknown,unknown,"{'Calories': '205', 'Carbs': '38g', 'Fat': '5g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/228682/amazing-oven-roasted-potatoes/
3,Easy Curry Sauce,"This curry sauce is versatile and can be served as a main course with meats and vegetables or as a sauce for dipping or spicing up veggie side dishes. It's great over baked potatoes, too.",4.1,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '8', 'soak_time': None, 'total_time': '45 mins', 'yield': '4 cups'}","[{'name': 'peanut oil', 'quanity': '2', 'unit': 'tablespoons'}
 {'name': 'margarine', 'quanity': '1', 'unit': 'tablespoon'}
 {'name': 'onion, chopped', 'quanity': '1', 'unit': 'large'}
 {'name': 'minced garlic', 'quanity': '2', 'unit': 'tablespoons'}
 {'name': 'minced fresh ginger root', 'quanity': '1', 'unit': 'tablespoon'}
 {'name': 'ground coriander', 'quanity': '2', 'unit': 'tablespoons'}
 {'name': 'ground cumin', 'quanity': '2', 'unit': 'tablespoons'}
 {'name': 'ground cinnamon', 'quanity': '1', 'unit': 'teaspoon'}
 {'name': 'ground black pepper', 'quanity': '1', 'unit': 'teaspoon'}
 {'name': 'cayenne pepper', 'quanity': '1', 'unit': 'teaspoon'}
 {'name': 'ground turmeric', 'quanity': '¼', 'unit': 'teaspoon'}
 {'name': 'tomatoes', 'quanity': '2', 'unit': ''}
 {'name': 'serrano chile peppers, seeded', 'quanity': '2', 'unit': ''}
 {'name': 'fresh cilantro', 'quanity': '½', 'unit': 'cup'}
 {'name': 'yogurt, whisked until smooth', 'quanity': '½', 'unit': 'cup'}
 {'name': 'water', 'quanity': '3', 'unit': 'cups'}]","[' Gather all ingredients.\n'
 ' Heat oil and margarine in a small skillet or wok over medium-high heat. Add onion and sauté until very brown, 10 to 15 minutes; do not undercook or sauce will taste funny.\n'
 ' Add garlic and ginger to onions; sauté for an additional 2 minutes.\n'
 ' Transfer mixture to a food processor and blend until smooth. Do not rinse the food processor. Place blended onion mixture in a large saucepan. Stir in coriander, cumin, cinnamon, black pepper, cayenne pepper, and turmeric; cook over low heat until mixture is thick and has a paste-like consistency.\n'
 ' Purée tomatoes, chile peppers, and cilantro in the food processor until smooth.\n'
 ' Add to onion mixture and stir over low heat, cooking off moisture from tomatoes and peppers.\n'
 ' Add yogurt a little bit at a time, stirring constantly to avoid curdling.\n'
 ' Blend mixture in the food processor until smooth\n'
 ' Return to saucepan, add water, and increase heat to high; bring sauce to a rolling boil. Cover saucepan and boil for 3 to 5 minutes.\n'
 ' Reduce heat and simmer until desired consistency is reached.\n']",unknown,unknown,"{'Calories': '75', 'Carbs': '6g', 'Fat': '6g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/25881/basic-curry-sauce/
4,Lemon Ginger Water,"This lightly sweetened lemon ginger water not only quenches your thirst, but it's also loaded with ginger's many health benefits. Adjust the honey and ginger to your tastes. I like to sip this detox drink throughout the day, especially during cold and flu season. I sometimes like to add turmeric or a couple pinches of cayenne pepper to the mix.",5.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '10 mins', 'yield': '1 gallon'}","[{'name': 'lemon juice', 'quanity': '½', 'unit': 'cup'}
 {'name': 'filtered water, divided', 'quanity': '15 ½', 'unit': 'cups'}
 {'name': 'fresh ginger, peeled', 'quanity': '1', 'unit': '(2 inch) piece'}
 {'name': 'honey', 'quanity': '4', 'unit': 'teaspoons'}
 {'name': '4 quart-size mason jars (optional)', 'quanity': '', 'unit': ''}]","[' Gather the ingredients.\n'
 ' Combine lemon juice, 1/2 cup water, ginger, and honey in a blender; blend for 20 to 30 seconds.\n'
 ' Strain the mixture evenly into 4 quart-sized mason jars or a 1-gallon pitcher.\n'
 ' Top off with remaining water and stir. Place lids on the jars or cover pitcher and store in the refrigerator.\n']",unknown,unknown,"{'Calories': '8', 'Carbs': '2g', 'Fat': None, 'Protein': None}",https://www.allrecipes.com/recipe/270414/lemon-ginger-water/
5,Chicken Wing Dip,"This chicken wing dip is delicious, spicy, and tastes just like hot chicken wings, but without the mess. It is perfect for football and tailgating season. I take this dish to parties and am always asked for the recipe. Serve with tortilla chips.",4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '40 mins', 'yield': None}","[{'name': 'cream cheese, softened', 'quanity': '2', 'unit': '(8 ounce) packages'}
 {'name': 'hot pepper sauce', 'quanity': '¾', 'unit': 'cup'}
 {'name': 'diced cooked chicken', 'quanity': '2', 'unit': 'cups'}
 {'name': 'ranch-style salad dressing', 'quanity': '1', 'unit': 'cup'}
 {'name': 'shredded Cheddar cheese', 'quanity': '1', 'unit': 'cup'}]","[' Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).\n'
 ' Mix cream cheese and hot pepper sauce together in a medium bowl until well blended; stir in chicken, dressing, and Cheddar cheese.\n'
 ' Spread into a 9x13-inch baking dish.\n'
 ' Bake in the preheated oven until bubbly, about 30 minutes. If oil collects on the top, dab it off using a paper towel.\n'
 ' Serve and enjoy!\n']",unknown,unknown,"{'Calories': '240', 'Carbs': '2g', 'Fat': '22g', 'Protein': '9g'}",https://www.allrecipes.com/recipe/90544/chicken-wing-dip/
6,Italian Mac and Cheese,"This Italian mac and cheese dish is rich and creamy, very comforting, and comes together quickly for a tasty weeknight dinner. ",4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '35 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '5', 'soak_time': None, 'total_time': '45 mins', 'yield': None}","[{'name': 'penne pasta', 'quanity': '8', 'unit': 'ounces'}
 {'name': 'Italian sausage', 'quanity': '10', 'unit': 'ounces'}
 {'name': 'unsalted butter', 'quanity': '1 ½', 'unit': 'tablespoons'}
 {'name': 'garlic, minced', 'quanity': '2', 'unit': 'cloves'}
 {'name': 'crushed red pepper flakes (Optional)', 'quanity': '1', 'unit': 'pinch'}
 {'name': 'flour', 'quanity': '1', 'unit': 'tablespoon'}
 {'name': '1% milk', 'quanity': '1', 'unit': 'cup'}
 {'name': 'heavy whipping cream', 'quanity': '½', 'unit': 'cup'}
 {'name': 'reserved pasta water', 'quanity': '¼', 'unit': 'cup'}
 {'name': 'grated mozzarella cheese', 'quanity': '1 ¼', 'unit': 'ounces'}
 {'name': 'grated provolone cheese', 'quanity': '1 ¼', 'unit': 'ounces'}
 {'name': 'grated Fontina cheese ', 'quanity': '1 ¼', 'unit': 'ounces'}
 {'name': 'finely grated Parmesan cheese', 'quanity': '1 ¼', 'unit': 'ounces'}
 {'name': 'julienned sun-dried tomatoes', 'quanity': '¼', 'unit': 'cup'}]","[' Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until penne start to get tender, about 8 minutes. Drain and reserve 1/4 cup pasta water.\n'
 ' Preheat the oven to 375 degrees F (190 degrees C).\n'
 ' Meanwhile, cook Italian sausage in a heavy skillet over medium-high heat until brown and crumbly, about 5 minutes. Transfer to a paper towel lined plate.\n'
 ' Melt butter in a skillet over medium heat. Sauté minced garlic and red pepper flakes until garlic is fragrant, 30 to 45 seconds. Sprinkle flour over mixture and stir to combine, making sure there are no lumps.\n'
 ' Pour in milk, cream, and reserved pasta water. Mix mozzarella, provolone, Fontina, and Parmesan cheeses in a bowl and stir in about 4/5th of the cheese mixture. Stir to combine. Add penne, cooked Italian sausage, and julienned sun dried tomatoes to the cheese sauce. Mix to combine and pour into an 8x8 inch casserole dish. Sprinkle with remaining cheese mixture.\n'
 ' Bake in the preheated oven until cheese is melted and lightly browned, about 25 minutes.\n']",I selected the cheese in this recipe for their melting properties.,unknown,"{'Calories': '603', 'Carbs': '40g', 'Fat': '39g', 'Protein': '25g'}",https://www.allrecipes.com/recipe/8502503/italian-mac-and-cheese/
7,Crab-Stuffed Lobster Tail,This stuffed lobster tail recipe features a buttery New England-style cracker and crabmeat stuffing. Serve with fresh lemon wedges and homemade dinner rolls for an exquisite but surprisingly simple meal.,4.6,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '10 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '25 mins', 'rest_time': None, 'servings': '2', 'soak_time': None, 'total_time': '35 mins', 'yield': None}","[{'name': 'lobster tails, split along the center top', 'quanity': '2', 'unit': ''}
 {'name': 'butter, melted', 'quanity': '2', 'unit': 'teaspoons'}
 {'name': 'jumbo lump crabmeat', 'quanity': '½', 'unit': 'cup'}
 {'name': 'clarified butter, at room temperature', 'quanity': '¼', 'unit': 'cup'}
 {'name': 'buttery round crackers, crushed', 'quanity': '15', 'unit': ''}
 {'name': 'chopped fresh parsley leaves', 'quanity': '1', 'unit': 'tablespoon'}
 {'name': 'fresh lemon juice', 'quanity': '1', 'unit': 'tablespoon'}
 {'name': 'seafood seasoning (such as Old Bay®)', 'quanity': '1', 'unit': 'teaspoon'}
 {'name': 'lemon zest', 'quanity': '1', 'unit': 'teaspoon'}
 {'name': 'garlic, minced', 'quanity': '1', 'unit': 'clove'}
 {'name': 'salt, or to taste', 'quanity': '¼', 'unit': 'teaspoon'}
 {'name': 'freshly ground white pepper, or to taste', 'quanity': '¼', 'unit': 'teaspoon'}]","[' Gather the ingredients and preheat the oven to 425 degrees F (220 degrees C).\n'
 ' Pull the edges of the split lobster shells apart and gently lift tail meat to rest above the shells. Place tails onto a baking sheet and brush meat with melted butter.\n'
 ' Gently mix crabmeat, clarified butter, crushed crackers, parsley, lemon juice, seafood seasoning, lemon zest, garlic, salt, and pepper together in a bowl until thoroughly combined.\n'
 "" Spoon 1/2 of the mixture into each tail; press gently to pack mixture so it doesn't fall off.\n""
 ' Bake in the preheated oven until meat is opaque and the stuffing is golden brown on top, 10 to 12 minutes. An instant-read thermometer inserted into the thickest part of the lobster tail should read 145 degrees F (65 degrees C).\n']",unknown,unknown,"{'Calories': '596', 'Carbs': '19g', 'Fat': '41g', 'Protein': '36g'}",https://www.allrecipes.com/recipe/219981/crab-stuffed-lobster-tail/
8,Strawberry Dump Cake,"This strawberry dump cake is an easy summer dessert to make with both fresh strawberries and canned strawberry pie filling. The cream cheese gives it a bit of a tang and the buttery, crumbly cake topping is delicious.",5.0,"{'active_time': None, 'additional_time': '10 mins', 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '50 mins', 'yield': '1 dump cake'}","[{'name': 'cooking spray', 'quanity': '', 'unit': ''}
 {'name': 'fresh strawberries, diced', 'quanity': '1', 'unit': 'pound'}
 {'name': 'sugar', 'quanity': '2', 'unit': 'teaspoons'}
 {'name': 'cream cheese, softened', 'quanity': '1', 'unit': '(8 ounce) package'}
 {'name': 'white cake mix ', 'quanity': '1', 'unit': '(15.25 ounce) package'}
 {'name': 'butter, melted', 'quanity': '1', 'unit': 'cup'}
 {'name': 'strawberry pie filling', 'quanity': '1', 'unit': '(21 ounce) can'}]","[' Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch dish with nonstick cooking spray. Set aside.\n'
 ' Sprinkle strawberries with sugar; set aside until strawberries release their juices, about 10 minutes.\n'
 ' Meanwhile, in a large bowl, whip cream cheese until light and fluffy. Add strawberries to whipped cream cheese and mix until well combined.\n'
 ' Combine cake mix and melted butter in a separate bowl and mix until mixture comes together as a crumble.\n'
 ' Pour pie filling into the greased baking dish. Pour strawberry-cream cheese mixture on top. Evenly distribute crumble over pie filling.\n'
 ' Bake in the preheated oven for 30 minutes. Remove from oven and cool on a wire rack.\n']",unknown,unknown,"{'Calories': '314', 'Carbs': '33g', 'Fat': '19g', 'Protein': '3g'}",https://www.allrecipes.com/recipe/8359551/strawberry-dump-cake/
9,Liver and Onions,"Smothered with caramelized onions, this beef liver is delicious and good for you too! Just be sure not to overcook it.",4.7,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '35 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '40 mins', 'yield': None}","[{'name': 'butter, divided', 'quanity': '4', 'unit': 'tablespoons'}
 {'name': 'onion, diced', 'quanity': '1', 'unit': 'medium'}
 {'name': 'white sugar', 'quanity': '2', 'unit': 'teaspoons'}
 {'name': ""calves' livers"", 'quanity': '1', 'unit': 'pound'}
 {'name': 'all-purpose flour', 'quanity': '¼', 'unit': 'cup'}
 {'name': 'salt and pepper to taste', 'quanity': '', 'unit': ''}]","[' Gather the ingredients.\n'
 ' Melt 3 tablespoons butter in a medium skillet over medium heat. Add onion and sauté until soft, about 5 minutes. Stir in sugar, reduce the heat to low, and continue to cook and stir until onion is very tender and brown, about 25 to 30 minutes; transfer onions into a small bowl and reserve skillet.\n'
 ' While the onions are cooking, rinse liver and remove the thin outer membrane. Slice liver into 1/4- to 1/2-inch-thick slices.\n'
 ' Dredge liver in flour.\n'
 ' Heat remaining 1 tablespoon butter in the same skillet over medium heat. Add liver and cook until browned, 1 to 1 1/2 minutes per side.\n'
 ' Serve liver smothered with caramelized onions.\n']",unknown,unknown,"{'Calories': '303', 'Carbs': '15g', 'Fat': '16g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/14673/liver-and-onions/
